"Time( 07)","Access point","SSID","Client","Category","Event type","Details"
"Dec 16 08:02:58","KhuB_B204","","fe:b3:b8:58:22:9f","Events dropped","Events dropped","""247 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuC_C009","UTH","01ff3d7c-fe08-4a94-9f3c-f68450e2ad33","802.11","802.11 disassociation","""unspecified reason"""
"Dec 16 08:02:58","KhuE_E101","","56:53:5f:46:0e:21","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.170.169.196, Source Port: 57368, Destination IP: 71.18.255.145"""
"Dec 16 08:02:58","KhuE_E101","","56:53:5f:46:0e:21","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.170.169.196, Source Port: 57369, Destination IP: 71.18.255.145"""
"Dec 16 08:02:58","KhuB_B311","","OPPO-Reno11-Pro-5G","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.215.128.203, Source Port: 56944, Destination IP: 163.70.159.42"""
"Dec 16 08:02:58","KhuB_B111","UTH","Admin","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:58","KhuC_C101","UTH","OPPO-A60","802.11","802.11 disassociation","""client was deauthenticated"""
"Dec 16 08:02:58","KhuB_B308","","","Events dropped","Events dropped","""656 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B308","","8542363a-0223-45f8-ba75-3476a049faee","Events dropped","Events dropped","""51 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B308","","8a:f0:39:6b:ce:e2","Events dropped","Events dropped","""81 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B308","","MacBook-Air-cua-o","Events dropped","Events dropped","""84 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuA_L1_HoiTruong1","UTH","5a:cd:5f:b5:fb:87","802.1X","802.1X authentication","""radio: 2, vap: 3, client_mac: 5A:CD:5F:B5:FB:87"""
"Dec 16 08:02:58","KhuA_L1_HoiTruong1","UTH","5a:cd:5f:b5:fb:87","802.11","802.11 association","""channel: 100, rssi: 43, band: 5"""
"Dec 16 08:02:58","KhuB_B110","","Ngocs-MacBook-Air-2","Events dropped","Events dropped","""115 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B110","","a8e38e6c-5001-4975-a945-40c7ea5ff0dd","Events dropped","Events dropped","""67 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuB_B110","","aa:2f:d1:0e:c2:78","Events dropped","Events dropped","""131 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuE_E202","UTH","66:f2:34:76:e0:96","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:02:58","KhuE_E101","","0a:85:a7:8c:d8:92","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.55.83.182, Source Port: 49531, Destination IP: 17.248.224.69"""
"Dec 16 08:02:58","KhuE_E101","","56:53:5f:46:0e:21","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.170.169.196, Source Port: 61276, Destination IP: 17.248.224.13"""
"Dec 16 08:02:58","KhuC_C209","","Android_21WFYVES","Events dropped","Events dropped","""62 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuC_C208","","OPPO-Reno14-F-5G","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.229.198.111, Source Port: 33494, Destination IP: 163.70.159.42"""
"Dec 16 08:02:58","KhuA_Phai1","","Android","Events dropped","Events dropped","""20 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuE_E104","","ca:27:35:9b:13:05","Events dropped","Events dropped","""20 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:02:58","KhuE_E104","","c90b1c85-5a8d-4bdb-afc5-729897fb7d75","Events dropped","Events dropped","""97 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
